1762,11,9,10,14,down,down,"[{""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}]"
1763,11,9,10,15,down,down,"[{""positionX"": 10, ""positionY"": 8}, {""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}]"
1764,11,9,11,15,down,right,"[{""positionX"": 10, ""positionY"": 9}, {""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}]"
1765,11,9,11,14,right,up,"[{""positionX"": 10, ""positionY"": 10}, {""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}]"
1766,11,9,11,13,up,up,"[{""positionX"": 10, ""positionY"": 11}, {""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}]"
1767,11,9,11,12,up,up,"[{""positionX"": 10, ""positionY"": 12}, {""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}]"
1768,11,9,11,11,up,up,"[{""positionX"": 10, ""positionY"": 13}, {""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}]"
1769,11,9,11,10,up,up,"[{""positionX"": 10, ""positionY"": 14}, {""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}]"
1770,11,9,11,9,up,up,"[{""positionX"": 10, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}]"
1771,12,5,11,8,up,up,"[{""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}]"
1772,12,5,11,7,up,up,"[{""positionX"": 11, ""positionY"": 15}, {""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}]"
1773,12,5,11,6,up,up,"[{""positionX"": 11, ""positionY"": 14}, {""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}]"
1774,12,5,11,5,up,up,"[{""positionX"": 11, ""positionY"": 13}, {""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}]"
1775,12,5,12,5,up,right,"[{""positionX"": 11, ""positionY"": 12}, {""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}]"
1776,12,7,13,5,right,right,"[{""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}]"
